product_name,category
优百润珍珠奶茶180g,即饮奶茶
心业白桃蜜柚果汁茶饮料500ml,即饮茶
克朗蜜险纪超萌手电筒压片糖果15g,硬糖
因特力净儿童酵素牙膏植物原味40g,牙膏
佳纯杨枝甘露果汁480ml,非冷藏即饮果汁
怡亿盛园冰杨梅汁370ml,冷藏即饮果汁
三祖龙尊合赢天下白酒浓香型39度500ml,白酒
优蕴非浓缩复原百香果汁300ml,冷藏即饮果汁
日清兵卫太郎咖喱乌冬面87g/碗,方便面
迪源山楂树下山楂果汁饮料350ml,非冷藏即饮果汁
植然乐轻油柑油甘柠檬复合果汁饮品1L,冷藏即饮果汁
欧乐B抗敏护龈牙膏劲速140g,牙膏
营养卫士脆花香烤面红烧牛肉味26g/袋,方便面
一扫光熊仔果汁软糖草莓味20g,软糖
乐天泡泡糖蓝莓味15g,口香糖
小浪漫黄桃多肉果汁400g,非冷藏即饮果汁
fe金典牙医生物儿童早晚牙膏坚固牙齿+防龋防蛀45g,牙膏
依可侬果味CC乐糖50g,硬糖
纳美极简生活健齿护龈牙膏180g,牙膏
航天菠萝爽果粒果汁饮料240ml,非冷藏即饮果汁
九叔奶茶风味饮料烤奶味420ml,即饮奶茶
豫百福韩式火鸡面清真110g/袋,方便面
金稻谷弹力果汁软糖60g,软糖
樱美堂ZA02沢印氨基酸物语清甜果香牙膏,牙膏
莎卡婴幼儿苹果味婴幼儿牙膏2岁20g,牙膏
贝壳熊雪糕棒糖草莓味38g,硬糖
亲宠奶茶风味饮料420ml,即饮奶茶
万客泉52度红高粱酒1.5L,白酒
东北坊小米酒45度125ml,白酒
舒客专研美白酵素牙膏鲜萃青柠120g,牙膏
三坡竹珍珠奶茶420g,即饮奶茶
滋百丽跳跳糖葡萄味20g,硬糖
淳茶舍武夷山大红袍茶饮料原味无糖480ml,即饮茶
港他柠檬茶味饮料310ml,即饮茶
阿斯塔特三色海星形软糖混合胶型凝胶糖果50g,软糖
中仸茉莉蜜茶1L,即饮茶
中拦山陈酿白酒42度100ml,白酒
曼妥思劲嚼充气糖10g,软糖
植控小苏打净白牙膏清新薄荷香型180g,牙膏
丰特典藏珍藏级壹号白酒52度500ml,白酒
康美金银花清热去火牙膏180g,牙膏
琦琦纯晶薄荷糖335g,硬糖
平冶蓝莓果粒果汁320ml,非冷藏即饮果汁
糖某某软糖可乐味60g,软糖
亿品新源拉面丸子怪味2号80g,方便面
彩伦果汁软糖综合味450g,软糖
今谷果园果粒橙2L,非冷藏即饮果汁
唐乐士小苏打牙膏清热祛火180g,牙膏
两岸一家亲台湾高粱酒53度258ml,白酒
一品街维C夹心泡泡糖80g,口香糖
百怡草莓酸酸果味饮料250ml,非冷藏即饮果汁
樱花梦儿童VC营养牙膏草莓味60g,牙膏
世纪小绵曲110ml,白酒
合合牛软糖玉米味239g,软糖
久诚二锅头白酒56度4.5L,白酒
锦星冷榨芒果饮料1.5L,冷藏即饮果汁
隆广川芒果汁饮料248ml,非冷藏即饮果汁
严东关糟烧王白酒50度3.85L,白酒
植贝美小苏打酵素牙膏200g,牙膏
乖乖爱跳跳糖葡萄味30g,硬糖
易爽达云南西瓜霜360度全面护理牙膏180g,牙膏
淳茶舍无糖武夷大红袍茶饮料480ml*12,即饮茶
火烈谷珍珠奶茶蜜桃味400ml,即饮奶茶
晟兴冰沙奶茶400ml,即饮奶茶
渔夫之宝润喉糖原味11g,硬糖
冠芳山楂树下果肉果汁1.25L*6,非冷藏即饮果汁
习水特曲浓香型白酒52度500ml,白酒
五粮液丝路花雨白酒礼盒52度500ml*2,白酒
丰淳贵宾酒45度500ml,白酒
乐佰草云南佰草清炎消止牙膏100g,牙膏
小橙有约猕猴桃复合果汁饮料985ml,非冷藏即饮果汁
骑士小明牛轧糖奶香味21g,软糖
KELLYONECHACHA果汁茶饮料杨梅黄金桂味350ml,即饮茶
统一小野黑糖姜茶CAN245ml*12,即饮茶
益果鲜果汁饮料芒果味500ml,非冷藏即饮果汁
一风堂鱼介豚骨风味碗面102g*6/碗,方便面
斐素茉莉奶绿牛乳茶750g,即饮奶茶
东方缘酿酒老方瓶白酒42度500ml,白酒
标榜保护除渍牙膏120g,牙膏
御善杞道河南烩面152g*12,方便面
沄晗风味饮料柠檬味180ml,非冷藏即饮果汁
中拦山陈酿老白干白酒53度500ml,白酒
悦氏青梅绿茶饮料茉莉味550ml,即饮茶
御盐清粉盐多效护理牙膏100g,牙膏
陈李济蜜炼桔红喉糖28.8g,硬糖
千喜多冷榨蓝莓汁1.5L,冷藏即饮果汁
清至无糖口香糖10.8g,口香糖
艾克弗瑞本草沁爽牙膏100ml,牙膏
轩仔爆笑跳跳糖15g,硬糖
锦星冷榨猕猴桃汁1.5L,冷藏即饮果汁
屈臣氏果汁先生100%椰子水350ml,非冷藏即饮果汁
搜茶记青橘红提500ml,即饮茶
肖小涵芝麻酥糖400g,软糖
神农浅尝无糖玉须茉莉茶475ml,即饮茶
天鲜美冰红茶1L,即饮茶
泡沫童话积木形软糖92g,软糖
甑小鹿脆脆酥干吃面50g/袋,方便面
东北第一窖原浆白酒50度1L,白酒
小倾心维C爽口含片糖蔓越莓味45g,硬糖
小哈气无糖薄荷糖水蜜桃味16g,硬糖
NANO-UP纳米金银牙膏100g,牙膏
澳利澳柠檬茶1L,即饮茶
QDOL黑糖珍珠奶茶饮料315ml,即饮奶茶
欧舒比小苏打洁白清吙牙膏160g,牙膏
益和康苹果醋饮料350ml,非冷藏即饮果汁
草珊瑚固齿亮白牙膏190g,牙膏
硕果瑞士糖苹果味18g,软糖
忆简酵素净白牙膏120g,牙膏
中意天下高粱王白酒42度248ml,白酒
易爽达小苏打清新牙膏蓝莓味220g,牙膏
小龙坎果园太子复合果汁饮料439ml,非冷藏即饮果汁
中华全效亮白薄荷牙膏130g,牙膏
敖东双黄连牙膏160g,牙膏
小白兰芒果汁1L,非冷藏即饮果汁
舒能达云南中药牙膏100g,牙膏
乌程银山白酒33度500ml,白酒
糖果炮弹曲奇形爆浆棉花糖什锦口味188g,软糖
小公交车太友饮料苹果味200ml,非冷藏即饮果汁
东方龙龙腾天下浓香型白酒52度500ml,白酒
阳光先生柠檬茶250ml,即饮茶
惠尔旺冷榨蜜桃汁饮料2.35L,冷藏即饮果汁
金韵娇儿孕妇特效舒缓牙膏90g,牙膏
果汁先生果汁250ml*2,冷藏即饮果汁
达利园豆乳茶元气桃桃味330ml,即饮奶茶
怡雪活性肽BTO牙龈修护牙膏180g,牙膏
百分享无糖彩绘棒棒糖20g,硬糖
ABC汤面鸡炖汤味350g,方便面
陕柠鲜磨板栗汁补元气245g*12,非冷藏即饮果汁
两心同私酿壹号白酒52度500ml,白酒
丁坊三花酒五年窖藏白酒42度100ml,白酒
闪电虎双层机械陀螺跳跳糖1g,硬糖
客加满一筐果子菠萝复合果汁饮料1.28L,非冷藏即饮果汁
leliwell益生菌清焱牙膏100g,牙膏
粤光宝香琥珀糖缤纷口味100g,软糖
合百客蘑菇形果味软糖120g,软糖
甄派火鸡面90g,方便面
和泰联精灵猫兔兔形软棒糖75g,软糖
甜怼怼雪糕桶棉花糖香橙味60g,软糖
叶原坊果Q糖混合味108g,软糖
鲜氧多乳茶白桃味300ml,即饮奶茶
上首发酵果汁饮品芒果味1L,非冷藏即饮果汁
木糖醇酷爽粒子清新口气牙膏100g,牙膏
依可侬树莓棒糖什果味挂板35g,硬糖
伊思特芒果汁828ml,非冷藏即饮果汁
七必坊竹叶清香型白酒2.5L,白酒
一鼎楼台湾炮弹高粱酒52度125ml,白酒
伈果缘水蜜桃果汁1L,非冷藏即饮果汁
凯美熊彩球牛乳棒糖100g,硬糖
上扬NVR益生元清新牙膏清萃龙井190g,牙膏
百乐洋蜜柚果汁360ml,非冷藏即饮果汁
fe金典牙医生物溶菌酶牙膏双重薄荷120g,牙膏
百年椰慧源百香果500ml,非冷藏即饮果汁
琚寨面皮儿386g/袋,方便面
5弹立方口香糖激酷薄荷味18粒40g,口香糖
八道韩式辣拉面牛肉味65g,方便面
常想知蓝莓果汁420ml,非冷藏即饮果汁
蓝津柠檬味冰红茶250ml*24,即饮茶
对鹿桃子果味饮料250ml*12,非冷藏即饮果汁
suifa口嚼糖可乐味35g,口香糖
山源川泓无糖薄荷糖茉莉青提味50g,硬糖
嘉颖纳白小苏打益口清新留兰薄荷牙膏100g,牙膏
名嘴云南本草多效增白牙膏100g,牙膏
小轻甘青柑普洱无糖复合茶饮料900ml,即饮茶
洱宝酸角汁饮品1.25L,非冷藏即饮果汁
源自阿萨姆邦烧仙草奶茶418ml,即饮奶茶
香飘飘沁香乌龙奶茶400ml,即饮奶茶
百乐洋益生菌果味饮料草莓味410ml,非冷藏即饮果汁
富美多茉莉青提无糖薄荷糖26g,硬糖
五粮液万事如意精酿52度500ml,白酒
一哟低糖乌龙茶饮料500ml,即饮茶
俏逗妈牛肉汤安格斯肥牛捞面116g*5/袋,方便面
超感动跳跳糖混合味15g,硬糖
维宝C咔风味饮料烤奶茶420ml,即饮奶茶
米思奇白芝麻酥糖500g,软糖
啵噜小猫儿童益生菌牙膏苹果味50g,牙膏
咚咚放了很多香菜的面麻辣双椒风味128g,方便面
花王防蛀牙颗粒牙膏清淡薄荷味130g,牙膏
JEFI皆富果肉猕猴桃果汁500ml,非冷藏即饮果汁
双沟东方缘绵柔珍坊41.8度500ml,白酒
佳乐美鲜橙多果汁2L,非冷藏即饮果汁
夏至梅冰杨梅果汁饮料380ml,冷藏即饮果汁
pepsodent牙膏250g,牙膏
赛医尚道益生菌护齿棒棒糖13g,硬糖
怡心纯椰果奶茶420ml,即饮奶茶
小佩桐桔子片型软糖45g,软糖
糖小奇汉堡糖果90g,软糖
侨乡南乳花生酥糖230g,软糖
迈优迪酷C棒糖果50g,硬糖
圣唐乳业羊奶牙膏150g,牙膏
真众冷榨芒果果汁饮料1.5L,冷藏即饮果汁
慧伶云南白茶净渍亮白牙膏100g,牙膏
一壶原酒白酒52度460ml*6,白酒
一扫光魔芋代餐面鸡汤味263g/桶,方便面
八道极地麻辣汤面120g*5,方便面
岳先生清润喉糖金银花罗汉果味40g,硬糖
ABC炖鸡汤面辣味70g*5/袋,方便面
糖小奇汉堡棒23g,软糖
小金龙牛奶棒棒糖水果味140g,硬糖
糖果炮弹软糖葡萄味40g,软糖
津都高粱饴200g,软糖
严宁植物素牙膏研白祛渍110g,牙膏
丹泉洞藏15年白酒53度500ml,白酒
知味客麻花棉花糖75g,软糖
果子熟了多多柠檬茶青柠风味236ml,即饮茶
百年椰慧源芒果汁500ml,非冷藏即饮果汁
巧原味芒果果汁饮料1.5L,非冷藏即饮果汁
百森荔枝果汁饮料250ml,非冷藏即饮果汁
冠宇紫皮糖300g,硬糖
O-ZONE欧志姆深海矿物泥牙膏100g,牙膏
小叶妍杏皮茶原味350ml,即饮茶
中茅贵州茅台镇茅酱荷花酒白酒53度500ml,白酒
知心话眼球形爆浆软糖60g,软糖
燃茶膳食纤维无糖玄米乌龙茶饮料500ml*15,即饮茶
宝时捷榴莲糖130g,硬糖
遇果彩虫形橡皮糖188g,软糖
牧江南碳烧乳茶饮料300g,即饮奶茶
佳健优果源果粒果汁饮料2.5L,非冷藏即饮果汁
Kissbye脆皮奶糖迷你小罐75g,软糖
伊村山野蓝莓汁248ml*12,非冷藏即饮果汁
太子红柚多多果味茶饮料200g*20,即饮茶
香悦伴侣鸳鸯之恋奶茶400ml,即饮奶茶
闪电虎劲爆跳跳糖混合口味10g,硬糖
东甘河高粱酒50度10L,白酒
野森林香橙红茶510ml,即饮茶
慧伶小苏打牙膏百香果味180g,牙膏
山果宝贝野生蓝莓汁310ml,非冷藏即饮果汁
清嘴小子草莓味口香糖28g,口香糖
维宝C咔冰奶茶420ml,即饮奶茶
允乐星抓抓乐恐龙果味糖果5g,硬糖
富贵满堂苹果醋1.5L,非冷藏即饮果汁
瑞士乐航空蛋压片糖果5g,硬糖
九江双蒸白酒42度500ml*4,白酒
本合软糖西瓜味16g,软糖
玩侠熊贝乐种子花蓝软糖60g,软糖
合百客玩转炫陀螺剥皮桃子软糖60g,软糖
鑫福来草珊瑚味润喉糖40g,硬糖
迈优迪暴龙铠甲车跳跳糖1g,硬糖
千喜多生态哈密瓜汁1.5L,非冷藏即饮果汁
中央厨房河南烩面羊肉原味147g/桶,方便面
颜值百分百HPP多肉小青柠饮品300ml,冷藏即饮果汁
呀美益生菌牙膏100g,牙膏
仓西农场香橙汁饮料1L,非冷藏即饮果汁
今麦郎1袋半重庆小面140g*30/袋,方便面
轩多多芝麻糖180g,硬糖
姚姥爷小山楂茯苓膏软糖,软糖
糖之彩缤纷小风车软糖9g,软糖
艾琳达奶茶红豆风味418ml,即饮奶茶
老亚Relax口香糖21.25g,口香糖
玩明糖太空机器人压片糖果3g,硬糖
阿凡提干吃面火鸡味23g/袋,方便面
果恋美冰红茶2L,即饮茶
鹿角巷茉莉乳茶整件68g*20,即饮奶茶
新原滋味烧仙草奶茶410ml,即饮奶茶
舒牙苏打加钙牙膏180g,牙膏
时克祛火清新牙膏薄荷香型100g,牙膏
雁门古道沙棘汁有糖罐装960ml,非冷藏即饮果汁
马赛克港时红糖烧仙草果汁茶125ml,即饮茶
爱尚小芳芳秋梨膏棒棒糖80g,硬糖
斯普雷特木瓜生物活性美白牙膏100ml,牙膏
劲浪口香糖蜂蜜柠檬味56g,口香糖
早安苹果儿童牙膏60g,牙膏
中孚8年白酒500ml,白酒
巧田百香果果汁1.25L,非冷藏即饮果汁
英乐士孕产专用防蛀美白去渍牙膏150g,牙膏
YUM-O红茶饮料水蜜桃味330ml,即饮茶
五粮液东方娇子红盒醇香白酒52度500ml,白酒
三沟小窖浓香型白酒500ml,白酒
青年神沏无糖明前龙井茶饮料500ml,即饮茶
东方缘绵柔典雅大曲白酒42度500ml,白酒
隆顺榕姜枣茶饮料300ml,即饮茶
诚小二干吃面茄汁番茄味54g/袋,方便面
带劲微泡果汁饮料蜜桃马黛茶味480ml,非冷藏即饮果汁
宝力素荔枝汁490ml,非冷藏即饮果汁
芳园冰芯青梅水480ml,冷藏即饮果汁
怡口健果味益生菌蜜桃柚薄荷味牙膏40g,牙膏
迪美汁橙汁饮料200ml,非冷藏即饮果汁
朗力福绿茶爽口牙膏105g,牙膏
巴麗岛100%椰子水360ml,非冷藏即饮果汁
藕喻烤奶奶茶420g,即饮奶茶
玛泰玥杨梅汁380ml,冷藏即饮果汁
顶甄苹果醋饮料500ml,非冷藏即饮果汁
爽立方蓝莓味叶黄素酯含片糖果13g,硬糖
丹泉米酒51度475ml,白酒
佰分悠茉莉椰子水500ml,非冷藏即饮果汁
对鹿苹果饮料250ml*12,非冷藏即饮果汁
统一希蒂CITEA大红袍牛乳茶450ml*15,即饮奶茶
恒亮蜂蜜柠檬茶饮料910g,即饮茶
中德浏阳谷白酒38度4.9L,白酒
扬雅NFC非浓缩还原橙汁300ml,冷藏即饮果汁
百怡酸酸果味饮品草莓味250ml,非冷藏即饮果汁
豫百福小龙虾拌面110g*5/袋,方便面
一鼎楼台湾高粱酒白酒58度600ml,白酒
世宝老社长白酒40度600ml,白酒
食汇营麻辣香锅拌面麻辣味173g/桶,方便面
习水大曲百年鸿运三星酒46度450ml*6,白酒
班卡牧酸砂橡皮糖樱桃味100g,软糖
光明100%葡萄汁300ml,冷藏即饮果汁
啵啵星汉堡橡皮糖100g,软糖
畅宝儿动力兔吹泡泡泡泡糖西瓜味52g,口香糖
严宁植物素牙膏解敏防酸110g,牙膏
上首双柚汁280g,非冷藏即饮果汁
悠嘻猴儿童防护牙膏50g,牙膏
三诺100%NFC葡萄汁300ml,冷藏即饮果汁
富永乌龙茶饮料340g,即饮茶
魔吃咸蛋黄火鸡面595g,方便面
LuckyKiss无糖型浓香蜜桃薄荷糖16g,硬糖
IMTBST木糖醇口香糖蜜桃薄荷味45g,口香糖
雪菲力柠檬茶500ml*12,即饮茶
王老吉刺柠吉润喉糖28g,硬糖
吉祥树芭尔果汁茶饮料泰式青柠480ml,即饮茶
雅味坊海豚形软糖150g,软糖
习酒国典酒珍品8年白酒52度500ml*2,白酒
一壶老酒白酒45度475ml,白酒
佰恩氏砂糖橘复合果汁980ml,非冷藏即饮果汁
沃森蜂蜜葡萄大果粒果汁1L,非冷藏即饮果汁
亲婴小象儿童健齿牙膏50g,牙膏
丽齿达小苏打氨基酸牙膏170g,牙膏
食族人勾魂拌面119g/桶,方便面
果忧恩冷榨芒果汁500ml,冷藏即饮果汁
三角洲军马缸头白酒2.5L,白酒
甜香园山核桃味牛皮糖180g,软糖
哈西娃娃孕产妇牙膏,牙膏
举世峰北京二锅头酒53度500ml,白酒
遇果剥皮软糖紫提葡萄味80g,软糖
阿尔卑斯牛奶硬糖焦香原味31g*21,硬糖
七彩金樽青稞酒43度750ml,白酒
上选金荞41.8度100ml,白酒
康齿灵旋风白牙膏果香薄荷香型90g,牙膏
和其正栀子乌龙茶凉茶饮料500ml*15,即饮茶
莱泰猴耳环牙膏冬青薄荷香型120g,牙膏
九州五味干吃火鸡面460g,方便面
迪士尼夹心硬糖综合味45g,硬糖
乐上曲红高粱白酒52度2L,白酒
东北坊小米酒45度248ml,白酒
YiDa益达木糖醇防蛀牙膏105g,牙膏
洱宝青梅爽饮料500ml*15,非冷藏即饮果汁
寻果乐冷藏即饮NFC桑葚汁570ml,冷藏即饮果汁
相思熊无糖沙棘汁750g,冷藏即饮果汁
尊仕鲜生莓来眼去果味饮料草莓味360ml*12,非冷藏即饮果汁
御草珍三七草本牙膏200g,牙膏
习郎浓香型头曲三年陈酿36度500ml,白酒
天真认真的草莓混合果汁250ml,冷藏即饮果汁
欧乐B水果口香糖含氟牙膏40g,牙膏
束氏芬多精草本牙膏120g,牙膏
阿斯塔特西瓜橡皮糖16g,软糖
个个盐清洁白祛渍牙膏200g,牙膏
健桥柠檬红茶芦荟饮品460ml,即饮茶
嘉迪仕小苏打牙膏双重薄荷180g,牙膏
何兴蓝鹦胡萝卜橙汁868ml,非冷藏即饮果汁
德康美清新优益牙膏75ml,牙膏
成央记100%NFC红心芭乐果汁1L,冷藏即饮果汁
双莲全天然植物牙膏160g,牙膏
冠生园快乐美味肉蓉面100g*5,方便面
喜吟吟小苏打牙膏100g,牙膏
出前一丁盈优青汁复合果蔬汁饮料青提味200ml,非冷藏即饮果汁
活力V满分血橙复合果汁饮料500ml,非冷藏即饮果汁
九五之尊老北京二锅头酒50度2L,白酒
舒雪冰冰薄荷防蛀修护牙膏175g,牙膏
筱乐乐西瓜爆浆泡泡糖20g,口香糖
喜得发果味泡泡糖52g,口香糖
第28街烤奶茶饮料485ml,即饮奶茶
菲可纳香草奶油味夹心棉花糖60g,软糖
冀氏彩虹高粱饴糖500g,软糖
铠甲勇士防蛀牙膏60g,牙膏
嘉颖纳白小苏打茶蓓健齿牙膏180g,牙膏
康齿宁儿童口腔膏草莓香型50g,牙膏
檀雪清火护龈小苏打牙膏100g,牙膏
九州春茅台镇1978高级商务用酒50度480ml*2,白酒
丁坊三花酒52度500ml,白酒
菲尼马卡龙形夹心泡泡糖20g,口香糖
信和堂港式柠檬茶320ml*12,即饮茶
碧源清多维+钙铁锌硒软糖216g,软糖
理本二阶堂睡魔挑战夹心糖薄荷味70g,硬糖
元气森林乳茶浓香原味300ml*15,即饮奶茶
白箭口香糖留兰香薄荷味13.5g,口香糖
山源川泓海盐薄荷糖青柠味50g,硬糖
玩明糖速推按按乐跳跳糖1g,硬糖
曼可心蓝鲸鱼橡皮糖108g,软糖
三溪郎酒金满斗禧白酒52度500ml,白酒
御膳杞道河南烩面香辣牛肉味152g/袋,方便面
绿箭口香糖原味5片装81g,口香糖
丑娃娃牛轧糖450g,软糖
御膳杞道羊汤小面原味107g*12/桶,方便面
屈臣氏碧泉茶饮料柠檬味330ml,即饮茶
对鹿饮料冰糖雪梨味2L,非冷藏即饮果汁
香飘飘烤奶茶焦香乌龙奶茶饮料280ml*15,即饮奶茶
百怡白桃甘露饮品550ml,非冷藏即饮果汁
旭日升红茶饮料山楂味310ml,即饮茶
ABD火鸡面老坛酸菜鸡肉味拌面147g,方便面
陶山庄园饮料菠萝味360ml,非冷藏即饮果汁
东旺烧刀子白酒浓香型60度5L,白酒
迎驾山泉茶茉莉毛峰茉莉绿茶饮料无糖520ml,即饮茶
太子冰爆柠檬复合果汁200g*20,冷藏即饮果汁
九亿人小米酒50度500ml,白酒
宝时捷小苏打薄荷糖水蜜桃味66g,硬糖
圣维保健加强型白牙素48g,牙膏
冠生园牛肉面55g,方便面
原叶冰红茶柠檬味480ml,即饮茶
铠迪动漫夜光网红砸金蛋跳跳糖1g,硬糖
权健草本牙膏150g,牙膏
原叶茉莉花茶480ml,即饮茶
百芝源芒果汁330ml*12,非冷藏即饮果汁
唯茜u茶400ml,即饮茶
家康宝苹果醋500ml,非冷藏即饮果汁
左岸姜枣牛乳茶250ml*6,即饮奶茶
田老大小炫富棒棒糖16g,硬糖
语季冰杨梅汁380ml,冷藏即饮果汁
山之南百香果果汁1.5L,非冷藏即饮果汁
fe金典祛渍亮白牙膏蜜桃清香150g,牙膏
沃迪动漫钢铁飞龙闪光BB锤软糖20g,软糖
闪箭小苏打清新劲爽柠檬香牙膏180g,牙膏
世业红缘三塘糯米陈酒450ml,白酒
邕豪可可奶茶香芋味330ml,即饮奶茶
艾芭薇儿童牙膏乳牙甜橙味50g,牙膏
三苏特曲浓香白酒53度500ml*6,白酒
百达跳跳糖6g,硬糖
伊思源蜂蜜甜橙饮料1L,非冷藏即饮果汁
可爱多儿童水晶牙膏柠檬味45g,牙膏
一本奶茶奶茶饮料经典原味200ml,即饮奶茶
倍安中老年果味压片糖果100片,硬糖
寿全斋爱克林苹果汁200ml,非冷藏即饮果汁
糖恋爱日式流心软糖草莓味100g,软糖
舒能达小苏打双重薄荷齿感白牙膏100g,牙膏
唯味果汁茶420ml,即饮茶
超能陆战队荧光棒棒糖10g,硬糖
益和源元气可可乳茶茉莉味380ml,即饮奶茶
九亿人精酿小米酒42度500ml,白酒
三利人参侵泡药材专用酒5L,白酒
陆樾鲜杨梅果汁300ml,非冷藏即饮果汁
恒佳福心动时刻木糖醇口香糖15g,口香糖
玉丹诃子绿茶饮料250ml,即饮茶
韧甄乳茶含乳饮料红茶味250g,即饮奶茶
香悦伴侣抹茶奶绿奶茶400ml,即饮奶茶
李博士小苏打牙膏220g,牙膏
一帆风顺白酒52度500ml*2,白酒
万州老窖纯高粱酒白酒52度500ml*6,白酒
伯兰顿杨梅汁500ml,冷藏即饮果汁
早洁早净益生菌清新口气牙膏168g,牙膏
世纪金徽三星白酒龙年生肖礼盒42度1L,白酒
肯的乐汉堡橡皮糖8g,软糖
怡多紫葡红茶500ml,即饮茶
天真芒力十足混合果汁250ml,冷藏即饮果汁
御善杞道香辣牛肉烩面152g*8/桶,方便面
华洋100%白桃汁366ml,非冷藏即饮果汁
宝桑园100%桑葚汁国风版礼盒装330ml*10,非冷藏即饮果汁
允乐星缤纷美饰无糖维C含片2g,硬糖
庆鲜冰红茶饮料柠檬果味250ml*24,即饮茶
欧克赛林牛奶益生菌清炎护龈牙膏110g,牙膏
小龙人咖啡奶糖袋装80g,硬糖
世界杯纹纹口香糖12.5g,口香糖
舒客极悦小苏打牙膏净齿护龈120g,牙膏
潘哥哥多彩糖310g,硬糖
佩茵润喉糖草莓味90g,硬糖
知味客小熊夹心棉花糖100g,软糖
畅源酸Q冰淇淋果味吸管糖180g,软糖
百泉蓝莓汁饮料1.5L,非冷藏即饮果汁
柠檬共和国鸭屎香单丛柠檬茶饮料900ml,即饮茶
叶原坊牛奶糖香橙味120g,软糖
公仔面炸酱味117g/袋,方便面
益品妙益生菌发酵复合橙汁350ml,非冷藏即饮果汁
乐宝超人艺术涂鸦跳跳糖1g,硬糖
小青年发酵杨梅蔓越莓复合果汁饮料1.5L,非冷藏即饮果汁
呀美小苏打百香果牙膏200g,牙膏
百事利冰绿茶480ml,即饮茶
三驾马车陈酿白酒42度450ml,白酒
新希望乳茶茶茉香焙茶奶茶饮品350ml,即饮奶茶
元美优品伸缩骷髅压片糖3g,硬糖
德敏舒婴幼儿护齿健齿牙膏草莓味100g,牙膏
一宛香高粱酒白酒42度5L,白酒
王老吉吉草本金银花苦丁茶310ml*20,即饮茶
槑男槑女杏皮茶450ml,即饮茶
九月红枣子酒500ml,白酒
冰力克无糖压片糖养乐多味15g,硬糖
盛牧果园香橙果汁1.5L,非冷藏即饮果汁
欧克赛林小苏打光感美白清新薄荷100g,牙膏
悦氏纤好茶550ml,即饮茶
陈福记生榨芒果汁1.5L,非冷藏即饮果汁
上元坊黑枣酒5L,白酒
家之纯芒果汁饮料300ml,非冷藏即饮果汁
泰府椰果红茶奶茶290ml,即饮奶茶
斐素大红袍牛乳茶320g,即饮奶茶
金成仁和汉仲本草牙膏180g,牙膏
慧伶小苏打牙膏70g,牙膏
富实桃C多饮料580ml,非冷藏即饮果汁
山源川泓薄荷糖海盐白桃味80g,硬糖
清至无糖口香糖热带橙柚味54g,口香糖
旭日森林乌龙茶无糖510ml,即饮茶
轻田梅子乌龙茶430ml,即饮茶
今麦郎1袋半辣白菜牛肉面136g*24/袋,方便面
Tinceke冰激凌6-12岁固齿防蛀儿童牙膏50g,牙膏
灵果玉液柚子乌龙茶450ml,即饮茶
韩爱VC多维果汁软糖120g,软糖
爱的名义茉莉奶绿奶茶520ml,即饮奶茶
植研草百花薄荷小苏打牙膏70g,牙膏
习水红星习水酒52度500ml,白酒
糖小棉花粒棉花糖草莓味150g,软糖
芭隆迪小苏打卓效清新祛口气牙膏100g,牙膏
铠迪动漫圣剑陀螺跳跳糖混合味1g,硬糖
